env,geno,ttime,da_sow2,zadok_stage_A,yield_A,yield_d,biomass_LargeError,biomass_MediumError,biomass_NoError,gw_d,g_no_d,maturity,flowering
Emerald_1993,g070,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g071,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g072,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g073,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g074,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g075,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g076,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g077,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g078,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g079,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g080,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g081,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g082,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g083,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g084,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g085,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g086,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g087,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g088,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g089,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g090,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g091,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g092,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g093,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g094,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g095,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g096,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g097,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g098,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g099,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g100,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g101,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g102,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g103,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g104,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g105,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g106,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g107,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g108,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g109,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g110,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g111,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g112,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g113,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g114,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g115,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g116,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g117,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g118,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g119,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g120,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g121,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g122,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g123,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g124,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g125,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g126,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g127,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g128,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g129,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g130,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g131,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g132,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g133,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g134,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g135,23.5,0,4.995,0,*,0,0,0,*,*,0,0
